Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
ATRI,Atrion Corporation,470.85,$858.96M,n/a,Health Care,Medical/Dental Instruments
ATTU,Attunity Ltd.,5.43,$91.25M,n/a,Technology,Computer Software: Prepackaged Software
LIFE,"aTyr Pharma, Inc.",3.6,$85.39M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",28,$102.02M,n/a,Finance,Major Banks
BOLD,"Audentes Therapeutics, Inc.",17.88,$388.45M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUDC,AudioCodes Ltd.,6.1,$201.89M,1999,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,3.43,$133.07M,n/a,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,1.22,$41.88M,2014,Health Care,Major Pharmaceuticals
ABTL,Autobytel Inc.,13.62,$149.31M,1999,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",78.46,$17.41B,n/a,Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",94.38,$42.58B,n/a,Technology,EDP Services
AVEO,"AVEO Pharmaceuticals, Inc.",0.6598,$50.05M,2010,Health Care,Major Pharmaceuticals
AVXS,"AveXis, Inc.",68,$1.88B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNW,"Aviat Networks, Inc.",10.91,$57.4M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",4.95,$201.09M,1993,Technology,Computer Software: Prepackaged Software
AVGR,"Avinger, Inc.",4.05,$92.36M,2015,Health Care,Medical/Dental Instruments
AVIR,"Aviragen Therapeutics, Inc.",1.35,$52.16M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,"Avis Budget Group, Inc.",38.77,$3.41B,n/a,Consumer Services,Rental/Leasing Companies
